"";"Fechas";"DriveIDs";"idTemp$name"
"52";2015-11-01;"1tD7e0O6cXt4iTNBcviXnM0zQoOkzhybN";"Temperaturas2015-11-01.tif"
"53";2015-10-01;"1rHeSOqh75iU0jUZ_86L_Xi6UK7UwSkV5";"Temperaturas2015-10-01.tif"
"54";2015-09-01;"1I7jVANhZntF-SrmBwtwrtnmFx6nPZ6uQ";"Temperaturas2015-09-01.tif"
"55";2015-08-01;"1brmv3LFBMOcVF6ovdbu64Qg4QKmad9MA";"Temperaturas2015-08-01.tif"
"56";2015-07-01;"1uhxLSBB2yeqiAVgLHVjS6A2NIy4OVNrj";"Temperaturas2015-07-01.tif"
"57";2015-06-01;"1SjqSWnSn_CSHbmGyZsmIkPZMSlmXhT18";"Temperaturas2015-06-01.tif"
"58";2015-05-01;"1UtBlx06Nxev9C-TwJT3Ly9dixJcz6fiw";"Temperaturas2015-05-01.tif"
"59";2015-04-01;"10h63yyVYMOZKZ0JqUw-J5oCONhI2g7kf";"Temperaturas2015-04-01.tif"
"60";2015-03-01;"1WQwUxlmynIznx-EOoEu2kZ0vfIKUVXeo";"Temperaturas2015-03-01.tif"
"61";2015-02-01;"16X5YhXHTPZ5j8VSb86Jbz3yI9e_GB3er";"Temperaturas2015-02-01.tif"
"62";2015-01-01;"1-8Sq9gu6TUc0svD4XtwhwFWI8fqYkGH_";"Temperaturas2015-01-01.tif"
"63";2014-12-01;"1aM4o6F1rziaX3T3ZIL7f2nlPQ4HRbXql";"Temperaturas2014-12-01.tif"
"64";2014-11-01;"1oSL0HRppK9j2-9BMQM6cTrUnYruuGANK";"Temperaturas2014-11-01.tif"
"65";2014-10-01;"1ryXUJmq92xpHJ2-itpGNWLWPrwt_TABc";"Temperaturas2014-10-01.tif"
"66";2014-09-01;"1GDhl6bWMag0tkShYmsUMVlsRvlqvX2QA";"Temperaturas2014-09-01.tif"
